pod,namespace,service,window_end,error_rate,log_volume,unique_error_types,cpu_millicores,memory_mi,error_rate_delta,log_volume_delta
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:23:33Z,0.0,45,0,1.42,34.3,0.0,-30
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:23:33Z,0.0,59,0,0.82,27.51,0.0,-10
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:23:33Z,0.0,105,0,1.28,34.71,0.0,30
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:23:33Z,0.0,30,0,1.4,26.7,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:23:33Z,0.0,45,0,1.44,32.98,0.0,0
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:24:40Z,0.0,84,0,0.96,32.59,0.0,7
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:24:40Z,0.0,42,0,1.25,32.67,0.0,-3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:24:40Z,0.0,75,0,0.81,34.3,0.0,30
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:24:40Z,0.0,48,0,0.66,27.51,0.0,-11
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:24:40Z,0.0,65,0,1.57,34.71,0.0,-40
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:24:40Z,0.0,28,0,1.32,26.7,0.0,-2
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:24:40Z,0.0,42,0,1.22,33.0,0.0,-3
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:25:46Z,0.0,66,0,0.9,32.57,0.0,-18
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:25:46Z,0.0,36,0,1.17,32.68,0.0,-6
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:25:46Z,0.0,70,0,1.06,34.3,0.0,-5
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:25:46Z,0.0,63,0,0.62,27.51,0.0,15
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:25:46Z,0.0,75,0,1.22,34.7,0.0,10
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:25:46Z,0.0,28,0,1.21,26.7,0.0,0
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:25:46Z,0.0,48,0,1.16,33.01,0.0,6
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:26:53Z,0.0,77,0,0.87,32.57,0.0,11
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:26:53Z,0.0,57,0,1.28,32.7,0.0,21
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:26:53Z,0.0,70,0,1.24,34.3,0.0,0
target-system-worker-deploy-5b4cc5c5f8-l5cfl,target-system,worker,2026-04-06T10:26:53Z,0.0,56,0,0.81,27.51,0.0,-7
target-system-backend-deploy-6b6bc6464-hfm5j,target-system,backend,2026-04-06T10:26:53Z,0.0,80,0,1.29,34.7,0.0,5
target-system-loadgen-deploy-668899fc6f-pfhjv,target-system,loadgen,2026-04-06T10:26:53Z,0.0,29,0,1.33,26.7,0.0,1
target-system-frontend-deploy-64cdc5f5cd-8tpws,target-system,frontend,2026-04-06T10:26:53Z,0.0,30,0,1.26,33.02,0.0,-18
target-system-worker-deploy-5b4cc5c5f8-694r6,target-system,worker,2026-04-06T10:27:59Z,0.0,60,0,1.0,32.57,0.0,-17
target-system-frontend-deploy-64cdc5f5cd-6bn4b,target-system,frontend,2026-04-06T10:27:59Z,0.0,54,0,1.5,32.71,0.0,-3
target-system-backend-deploy-6b6bc6464-vt7zq,target-system,backend,2026-04-06T10:27:59Z,0.0,80,0,1.04,34.3,0.0,10
